tag,0
dokkaebi,dokkaebi
heartfelt,heartfelt
true love ,true love 
gun fight,gun fight
thriller ,thriller 
goguryeo dynasty,goguryeo dynasty
warrior female lead,warrior female lead
gwanggaeto the great,gwanggaeto the great
oblivious female lead,oblivious female lead
smart male lead ,smart male lead 
infectious disease,infectious disease
illness ,illness 
anthology,anthology
forced kiss,forced kiss
blood,blood
lesbian romance,lesbian romance
"""school friends' relationship ""","""school friends' relationship """
multi-generational ,multi-generational 
rich man/poor woman ,rich man/poor woman 
long lost sibling,long lost sibling
psychometry,psychometry
slow romance,slow romance
childish female lead,childish female lead
badass male lead ,badass male lead 
teen parents,teen parents
teen marriage,teen marriage
sociophobia,sociophobia
competition,competition
songwriter male lead,songwriter male lead
singing ,singing 
gaslighting,gaslighting
mental torment,mental torment
animal abuse,animal abuse
hot-tempered male lead ,hot-tempered male lead 
dark fantasy,dark fantasy
supernatural phenomena,supernatural phenomena
religion,religion
fantasy,fantasy
detective fiction ,detective fiction 
vampire ,vampire 
cold man/warm woman ,cold man/warm woman 
cheerful female lead ,cheerful female lead 
fan culture,fan culture
dropout,dropout
alcoholism,alcoholism
thief female lead,thief female lead
death of a father ,death of a father 
superhuman strength ,superhuman strength 
heartbreak,heartbreak
naive female lead,naive female lead
angel female lead,angel female lead
raised by grandmother,raised by grandmother
undercover agent male lead,undercover agent male lead
undercover agent female lead,undercover agent female lead
criminal organization,criminal organization
heiress female lead,heiress female lead
age gap [real life] ,age gap [real life] 
high class society,high class society
ice hockey,ice hockey
adult-minor relationship ,adult-minor relationship 
ambitious male lead,ambitious male lead
mean mother ,mean mother 
singer male lead ,singer male lead 
implied rape,implied rape
athlete female lead,athlete female lead
meet again,meet again
swimmer female lead ,swimmer female lead 
architecture industry,architecture industry
death of a husband,death of a husband
nice female lead ,nice female lead 
betrayal ,betrayal 
orphanage setting,orphanage setting
plastic surgeon male lead ,plastic surgeon male lead 
"""housemates' relationship""","""housemates' relationship"""
interior designer female lead,interior designer female lead
deliveryman/deliverywoman supporting character,deliveryman/deliverywoman supporting character
chairman/chairwoman supporting character ,chairman/chairwoman supporting character 
past and present,past and present
different timelines,different timelines
hypnotism ,hypnotism 
jack of all trades,jack of all trades
interior designer,interior designer
engagement,engagement
elderly care ,elderly care 
inheritance theft,inheritance theft
hotel setting,hotel setting
pâtissier,pâtissier
writer female lead,writer female lead
chef male lead ,chef male lead 
secret second family,secret second family
sick son,sick son
academic achievement,academic achievement
café owner female lead ,café owner female lead 
flashback to past ,flashback to past 
unusual friendship,unusual friendship
reserved male lead,reserved male lead
"""emperor's physician""","""emperor's physician"""
prime minister,prime minister
eunuch,eunuch
survival ,survival 
hwarang,hwarang
jinheung,jinheung
dissociative identity disorder,dissociative identity disorder
playful male lead,playful male lead
mind reading,mind reading
warm man/cold woman ,warm man/cold woman 
identical twin female lead,identical twin female lead
twin exchange,twin exchange
manager female lead,manager female lead
photographer supporting character,photographer supporting character
director male lead,director male lead
modeling,modeling
healing ,healing 
chef male lead,chef male lead
warm female lead,warm female lead
parody ,parody 
tone deaf,tone deaf
insomnia ,insomnia 
haphephobia,haphephobia
homeless,homeless
romeo and juliet,romeo and juliet
child abandonment ,child abandonment 
immature female lead,immature female lead
tough past,tough past
sly female lead,sly female lead
bilingual,bilingual
music industry,music industry
k-pop,k-pop
idol female lead,idol female lead
volunteer supporting character,volunteer supporting character
volunteer male lead,volunteer male lead
monk/nun supporting character,monk/nun supporting character
homeless supporting character ,homeless supporting character 
historical legend,historical legend
animal,animal
part-time worker male lead,part-time worker male lead
talking animal,talking animal
clingy female lead ,clingy female lead 
unfortunate female lead,unfortunate female lead
biographical,biographical
warrior,warrior
mental hospital setting,mental hospital setting
law ,law 
power struggle ,power struggle 
prison setting,prison setting
gambler male lead,gambler male lead
businesswoman female lead,businesswoman female lead
ciminal organization,ciminal organization
investigator female lead,investigator female lead
investigation team,investigation team
alcoholic female lead,alcoholic female lead
honest male lead,honest male lead
mafia,mafia
material arts,material arts
female fighter,female fighter
social anxiety disorder,social anxiety disorder
taboo,taboo
family secret ,family secret 
terrorist,terrorist
priest,priest
demon/monster hunting,demon/monster hunting
teacher female lead,teacher female lead
exorcist,exorcist
heiress ,heiress 
criminal profiler,criminal profiler
dentist male lead,dentist male lead
adopted supporting character,adopted supporting character
patisserie,patisserie
vice principal supporting character,vice principal supporting character
part-time worker female lead,part-time worker female lead
part-time worker male lead ,part-time worker male lead 
successful male lead ,successful male lead 
possessive female lead,possessive female lead
selfless male lead,selfless male lead
rich kid,rich kid
concubine,concubine
consort supporting character,consort supporting character
revolution,revolution
lottery winner ,lottery winner 
deity female lead,deity female lead
clairvoyance,clairvoyance
unlucky male lead,unlucky male lead
special power ,special power 
rescue,rescue
rescue team,rescue team
forest ranger,forest ranger
evil spirit,evil spirit
royal family,royal family
taejong,taejong
thief male lead,thief male lead
downfall,downfall
miracle,miracle
archery,archery
introverted female lead,introverted female lead
alcoholic male lead,alcoholic male lead
alcoholism ,alcoholism 
eccentric female lead ,eccentric female lead 
oblivious male lead,oblivious male lead
frenemy ,frenemy 
school problems ,school problems 
dance,dance
snowy setting,snowy setting
dancer female lead,dancer female lead
single mother ,single mother 
courtroom setting ,courtroom setting 
redemption,redemption
runaway teenager,runaway teenager
justice system,justice system
prince syndrome,prince syndrome
innocent male lead,innocent male lead
evil aunt ,evil aunt 
1960s,1960s
oriental medicine ,oriental medicine 
manipulative supporting character,manipulative supporting character
playwright,playwright
manipulative female villain,manipulative female villain
optimistic female lead ,optimistic female lead 
home shopping,home shopping
tv host,tv host
veterinarian ,veterinarian 
psychiatrist female lead ,psychiatrist female lead 
chef female lead,chef female lead
abusive parents ,abusive parents 
premonition,premonition
office setting,office setting
team leader male lead ,team leader male lead 
senior-junior relationship ,senior-junior relationship 
new enerrgy,new enerrgy
presidential election,presidential election
"""coup d'etat""","""coup d'etat"""
weak female lead,weak female lead
chairman/chairwoman supporting character,chairman/chairwoman supporting character
homeless male lead,homeless male lead
thug supporting character,thug supporting character
underworld,underworld
episodic format,episodic format
poor female lead ,poor female lead 
calm female lead ,calm female lead 
cosmetic company,cosmetic company
mentor,mentor
rivalry ,rivalry 
parody,parody
sense of culpability,sense of culpability
hypocrisy,hypocrisy
revenge killing,revenge killing
crime against women,crime against women
medical,medical
sleep disorder,sleep disorder
sleepwalking,sleepwalking
"""housemates' relationship ""","""housemates' relationship """
living with in-laws,living with in-laws
domestic abuse ,domestic abuse 
korean food,korean food
foodie female lead,foodie female lead
civil servant,civil servant
benevolent mother,benevolent mother
highlight ,highlight 
game developer supporting character,game developer supporting character
competent male lead ,competent male lead 
female lead action scenes,female lead action scenes
debt,debt
game show,game show
smart antihero,smart antihero
domestic abuse,domestic abuse
hateful mother-in-law ,hateful mother-in-law 
fake relationship,fake relationship
authoritarian parents,authoritarian parents
doppelganger ,doppelganger 
police procedural,police procedural
troublemaker male lead,troublemaker male lead
vietnam war,vietnam war
assassination,assassination
1990s,1990s
all-boys school,all-boys school
stalker supporting character,stalker supporting character
screenwriter supporting character,screenwriter supporting character
screenwriter male lead,screenwriter male lead
editor supporting character,editor supporting character
lawyer supporting character ,lawyer supporting character 
deafness,deafness
deaf male lead,deaf male lead
stepfather-stepdaughter relationship ,stepfather-stepdaughter relationship 
teenager female lead,teenager female lead
stolen money,stolen money
broadcasting club,broadcasting club
social media,social media
acupuncture,acupuncture
"""stepbrothers' relationship""","""stepbrothers' relationship"""
raised by elder brother,raised by elder brother
conflict ,conflict 
family issues,family issues
cheating,cheating
flight attendant female lead,flight attendant female lead
businessman male lead ,businessman male lead 
policeman,policeman
undercover agent,undercover agent
idol actor ,idol actor 
philosophical,philosophical
social realism,social realism
guardian angel,guardian angel
psychiatrist male lead ,psychiatrist male lead 
mobile app,mobile app
dermatologist male lead,dermatologist male lead
badminton,badminton
athlete male lead,athlete male lead
teen marriage ,teen marriage 
immortal female lead,immortal female lead
immortality ,immortality 
long distance relationship,long distance relationship
orphan female lead ,orphan female lead 
prince male lead ,prince male lead 
generation gap,generation gap
lovers reunited,lovers reunited
gardener,gardener
life decisions,life decisions
business successor,business successor
divorce ,divorce 
narcolepsy,narcolepsy
student-teacher relationship ,student-teacher relationship 
sitcom ,sitcom 
boxer female lead,boxer female lead
police officer male lead,police officer male lead
stubborn female lead,stubborn female lead
strict mother,strict mother
good and evil,good and evil
cold male lead ,cold male lead 
filmed abroad ,filmed abroad 
undercover operation,undercover operation
rags to riches ,rags to riches 
trot music,trot music
painting,painting
blind male lead,blind male lead
protective male lead,protective male lead
passionate male lead,passionate male lead
fast paced romance,fast paced romance
awkward female lead,awkward female lead
insurance,insurance
emotional abuse,emotional abuse
painter,painter
blindness,blindness
intellectual disability,intellectual disability
jealousy ,jealousy 
"""girls' generation (snsd)""","""girls' generation (snsd)"""
inheritance theft ,inheritance theft 
"""roommates' relationship ""","""roommates' relationship """
extravagant male lead,extravagant male lead
summer vacation,summer vacation
stalker,stalker
nanny male lead,nanny male lead
child supporting character,child supporting character
child female lead,child female lead
love square ,love square 
cnblue,cnblue
reality show ,reality show 
faked death,faked death
weak male lead ,weak male lead 
clingy female lead,clingy female lead
personal assistant supporting character,personal assistant supporting character
welder female lead,welder female lead
death of a grandfather,death of a grandfather
prosecutor male lead ,prosecutor male lead 
police officer supporting character,police officer supporting character
company president (ceo) male lead ,company president (ceo) male lead 
financial conflict,financial conflict
hospital management,hospital management
mathematics ,mathematics 
telepathy,telepathy
augmented reality,augmented reality
game,game
virtual reality,virtual reality
death game,death game
evil father ,evil father 
quirky humour,quirky humour
aggressive female lead,aggressive female lead
vice president supporting character,vice president supporting character
judge supporting character ,judge supporting character 
career oriented female lead,career oriented female lead
coach male lead,coach male lead
counselor female lead,counselor female lead
short track speed skating,short track speed skating
money-hungry male lead,money-hungry male lead
money-obsession ,money-obsession 
magical object,magical object
forgotten memories,forgotten memories
imposter,imposter
twins ,twins 
rich family ,rich family 
beauty pageant,beauty pageant
desperate male lead,desperate male lead
beauty salon owner,beauty salon owner
debt collector,debt collector
imf crisis,imf crisis
company president (ceo) female lead,company president (ceo) female lead
team manager,team manager
single female lead ,single female lead 
actor/actress supporting character,actor/actress supporting character
friends to enemies,friends to enemies
inferiority complex,inferiority complex
moral ambiguity ,moral ambiguity 
baking,baking
patissier male lead,patissier male lead
café owner female lead,café owner female lead
plane crash,plane crash
disaster,disaster
social justice,social justice
village setting ,village setting 
slapstick,slapstick
potty humor,potty humor
farm setting,farm setting
domestic violence ,domestic violence 
secret child,secret child
naive female lead ,naive female lead 
hostage situation,hostage situation
reunification of korea,reunification of korea
hostage,hostage
heist,heist
nudity ,nudity 
teenager male lead,teenager male lead
band ,band 
heir male lead ,heir male lead 
death of a daughter,death of a daughter
governor supporting character,governor supporting character
governor male lead,governor male lead
archaeologist male lead,archaeologist male lead
gangster supporting character,gangster supporting character
police officer female lead ,police officer female lead 
black magic,black magic
gwangjong ,gwangjong 
aristocrat,aristocrat
servant,servant
calligrapher,calligrapher
photographer ,photographer 
"""sisters' relationship ""","""sisters' relationship """
child sexual abuse,child sexual abuse
grandma-granddaughter relationship,grandma-granddaughter relationship
uncle-nephew relationship,uncle-nephew relationship
mourning,mourning
cleaning and organizing,cleaning and organizing
asperger’s syndrome ,asperger’s syndrome 
superpower,superpower
gender swap,gender swap
sword-fight ,sword-fight 
crime against children,crime against children
attempted sexual assault,attempted sexual assault
teamwork ,teamwork 
villain likes the lead,villain likes the lead
slow burn story ,slow burn story 
police captain supporting character,police captain supporting character
crime against children ,crime against children 
female antagonist ,female antagonist 
unconditional love,unconditional love
loan shark ,loan shark 
rural life,rural life
evil parental figure ,evil parental figure 
kind female lead,kind female lead
materialistic female lead,materialistic female lead
bad/wrong tag ,bad/wrong tag 
fake incest,fake incest
architecture industry ,architecture industry 
sibling rivalry ,sibling rivalry 
part-time worker female lead ,part-time worker female lead 
hologram,hologram
company manager,company manager
cosmetic company ,cosmetic company 
producer,producer
haechoolring,haechoolring
single father male lead,single father male lead
professor,professor
time manipulation,time manipulation
cyberbullying,cyberbullying
amusement park setting,amusement park setting
sabotage,sabotage
composer male lead,composer male lead
record producer female lead,record producer female lead
record producer male lead,record producer male lead
dog ,dog 
grandma-granddaughter relationship ,grandma-granddaughter relationship 
crime boss,crime boss
princess supporting character,princess supporting character
adopted female lead,adopted female lead
forced break-up,forced break-up
evil daughter-in-law ,evil daughter-in-law 
model female lead,model female lead
model male lead,model male lead
hotel management,hotel management
nutritionist,nutritionist
mother-daughter relationship ,mother-daughter relationship 
spy male lead,spy male lead
undercover agent male lead ,undercover agent male lead 
jerk male lead,jerk male lead
family crisis,family crisis
clumsy male lead,clumsy male lead
airhead male lead,airhead male lead
afterlife,afterlife
innocent male lead ,innocent male lead 
orchestra conductor male lead,orchestra conductor male lead
pianist female lead,pianist female lead
musician male lead ,musician male lead 
fire accident,fire accident
kind male lead ,kind male lead 
camping trip,camping trip
past failure,past failure
hotel setting ,hotel setting 
friends with benefits,friends with benefits
heart surgery,heart surgery
pilot male lead,pilot male lead
teacher male lead,teacher male lead
prejudice,prejudice
rich woman/poor man ,rich woman/poor man 
veterinarian,veterinarian
guilt,guilt
self-harm ,self-harm 
peasant revolution,peasant revolution
business ,business 
female infertility,female infertility
long time friends,long time friends
single father ,single father 
obsessive-compulsive disorder ,obsessive-compulsive disorder 
weight loss,weight loss
body image,body image
disabled female lead,disabled female lead
selfish male lead,selfish male lead
terminal care,terminal care
sick female lead,sick female lead
selfless female lead ,selfless female lead 
body swap ,body swap 
strict boss,strict boss
engineer male lead,engineer male lead
strict female lead,strict female lead
airport setting,airport setting
muteness,muteness
bucket list,bucket list
ex-spouse comes back,ex-spouse comes back
depression ,depression 
brief nudity,brief nudity
prison,prison
prisoner,prisoner
drug usage ,drug usage 
salesman/saleswoman supporting character,salesman/saleswoman supporting character
florist supporting character,florist supporting character
heir ,heir 
mdl remake ,mdl remake 
vampire,vampire
music,music
high school sweethearts,high school sweethearts
interview,interview
bickering couple ,bickering couple 
island setting,island setting
middle-aged female lead,middle-aged female lead
singing,singing
co-produced,co-produced
immigrant,immigrant
abuse of power,abuse of power
racism,racism
world war 1,world war 1
world war 2 ,world war 2 
ex-convict male lead,ex-convict male lead
angel male lead,angel male lead
forensic medical examiner male lead,forensic medical examiner male lead
forensic science,forensic science
lieutenant supporting character,lieutenant supporting character
warm female lead ,warm female lead 
supermarket,supermarket
tennis player,tennis player
sports,sports
divorced couple,divorced couple
obsession ,obsession 
stepsibling romance,stepsibling romance
incest,incest
bad/wrong tag,bad/wrong tag
forgiveness,forgiveness
resentment,resentment
sensitive female lead,sensitive female lead
retaliation,retaliation
multiple marriages,multiple marriages
wedlock child,wedlock child
adopted siblings love,adopted siblings love
programmer,programmer
obsessive ex-lover,obsessive ex-lover
clingy ex-boyfriend,clingy ex-boyfriend
break off engagement,break off engagement
hidden camera crime ,hidden camera crime 
superstition,superstition
player male lead,player male lead
police academy,police academy
honest female lead,honest female lead
coast guard,coast guard
serial killer,serial killer
psychic female lead ,psychic female lead 
church setting,church setting
exorcist male lead,exorcist male lead
priest supporting character,priest supporting character
priest male lead,priest male lead
psychiatrist supporting character,psychiatrist supporting character
catholicism in korea ,catholicism in korea 
noble man/common woman,noble man/common woman
alternate universe,alternate universe
black comedy ,black comedy 
swindling,swindling
detective agency,detective agency
personality change,personality change
policewoman ,policewoman 
self- redemption,self- redemption
crime solving duo,crime solving duo
sport club,sport club
boarding house,boarding house
working mom,working mom
carefree female lead ,carefree female lead 
obsessive male lead ,obsessive male lead 
survivor guilt,survivor guilt
selfish female lead,selfish female lead
first love returns ,first love returns 
painter female lead,painter female lead
unreliable narrator,unreliable narrator
adapted from  short story ,adapted from  short story 
divorced female lead ,divorced female lead 
nostalgia,nostalgia
identical twin male lead,identical twin male lead
drug addiction,drug addiction
teacher supporting character,teacher supporting character
lawyer female lead ,lawyer female lead 
dorky male lead,dorky male lead
spoiled male lead ,spoiled male lead 
guitarist male lead,guitarist male lead
public officer,public officer
strict parent,strict parent
civil servant ,civil servant 
prodigy,prodigy
pathetic female lead,pathetic female lead
carpenter male lead,carpenter male lead
researcher male lead,researcher male lead
death of a friend,death of a friend
boxer male lead,boxer male lead
adult-minor relationship,adult-minor relationship
office worker ,office worker 
long lost mother,long lost mother
lying female lead,lying female lead
mean sister,mean sister
hidden past ,hidden past 
calm male lead ,calm male lead 
master-slave relationship,master-slave relationship
gisaeng,gisaeng
gold digger female lead,gold digger female lead
stolen identity,stolen identity
identity swap ,identity swap 
biotechnology,biotechnology
famous male lead ,famous male lead 
visual arts,visual arts
art restoration,art restoration
historical artifacts,historical artifacts
hacker male lead,hacker male lead
phobia ,phobia 
fake religion ,fake religion 
fake religion,fake religion
workplace setting ,workplace setting 
travel agency,travel agency
disapproving parent ,disapproving parent 
"""classmates' relationship""","""classmates' relationship"""
school violence,school violence
mature female lead,mature female lead
transfer student ,transfer student 
mean mother,mean mother
army officer,army officer
police dog,police dog
demilitarized zone,demilitarized zone
data manipulation ,data manipulation 
boutique ,boutique 
prince sado,prince sado
noble woman/common man,noble woman/common man
witch female lead,witch female lead
princess female lead ,princess female lead 
memory manipulation,memory manipulation
housewife bullying,housewife bullying
elementary school,elementary school
lazy male lead,lazy male lead
missing mother ,missing mother 
betrayed by a friend,betrayed by a friend
possessive wife,possessive wife
strict grandfather,strict grandfather
selfish mother ,selfish mother 
secret ,secret 
serious male lead,serious male lead
university ,university 
corrupt police officer,corrupt police officer
real estate agent female lead,real estate agent female lead
jewelry (group),jewelry (group)
hit and run,hit and run
child behavior issues ,child behavior issues 
cosmetics company,cosmetics company
beauty and makeup ,beauty and makeup 
emperor male lead,emperor male lead
winter sport,winter sport
audition ,audition 
plane setting,plane setting
flight attendant supporting character,flight attendant supporting character
single male lead ,single male lead 
betrayed by a lover,betrayed by a lover
mistress female lead,mistress female lead
protective brother,protective brother
butterfly effect,butterfly effect
goryeo dynasty ,goryeo dynasty 
dystopia ,dystopia 
political intrigue,political intrigue
taejo,taejo
north and south korea ,north and south korea 
foreigner male lead,foreigner male lead
sweet male lead ,sweet male lead 
performing arts,performing arts
software developer female lead,software developer female lead
dementia ,dementia 
songwriter female lead,songwriter female lead
photographer male lead ,photographer male lead 
gore ,gore 
revolt,revolt
poverty,poverty
editor,editor
photography ,photography 
news media,news media
news station,news station
raised by grandfather,raised by grandfather
brothers love same woman ,brothers love same woman 
clandestine operation,clandestine operation
ulterior motive,ulterior motive
game show ,game show 
fashion designer male lead,fashion designer male lead
app developer,app developer
language barrier,language barrier
intercountry romance,intercountry romance
pickpocket,pickpocket
righteous male lead ,righteous male lead 
emotionless male lead,emotionless male lead
deliverywoman female lead,deliverywoman female lead
deliveryman male lead,deliveryman male lead
attorney male lead,attorney male lead
lawyer male lead ,lawyer male lead 
death of a family,death of a family
disapproving family,disapproving family
miscommunication,miscommunication
single female lead,single female lead
precognition ,precognition 
step-siblings love,step-siblings love
attempted suicide ,attempted suicide 
pretends to be gay,pretends to be gay
closeted,closeted
producer female lead,producer female lead
teenager,teenager
fluffy,fluffy
impersonation,impersonation
surgeon ,surgeon 
mythical being,mythical being
taxi driver male lead,taxi driver male lead
photographic memory,photographic memory
death of a fiancé ,death of a fiancé 
conceited male lead,conceited male lead
vengeful female lead ,vengeful female lead 
sexual assault ,sexual assault 
bad man/good woman,bad man/good woman
hatred ,hatred 
sommelier,sommelier
winery,winery
aids,aids
death of a girlfriend,death of a girlfriend
motherhood ,motherhood 
separation at birth,separation at birth
drug lord,drug lord
bank setting,bank setting
sincere male lead,sincere male lead
bank auditor ,bank auditor 
heartbreak ,heartbreak 
elemental power ,elemental power 
reporter supporting character,reporter supporting character
occult,occult
spirit ,spirit 
poison,poison
pandemic,pandemic
attempted assassination,attempted assassination
fugitive,fugitive
death of a sister,death of a sister
retrocognition,retrocognition
political ,political 
vengeful ghost ,vengeful ghost 
competition ,competition 
ghost ,ghost 
mermaid,mermaid
share house,share house
mermaid female lead,mermaid female lead
adapted from video game,adapted from video game
sacrifice happiness,sacrifice happiness
prince supporting character,prince supporting character
alternate reality,alternate reality
soldier ,soldier 
noblewoman,noblewoman
chungseon,chungseon
ruthless male lead,ruthless male lead
extreme violence ,extreme violence 
eunuch supporting character,eunuch supporting character
king supporting character,king supporting character
queen supporting character,queen supporting character
prince supporting character ,prince supporting character 
parallel universe,parallel universe
male lead saves female lead,male lead saves female lead
evil uncle,evil uncle
monarchy,monarchy
treason ,treason 
blood ,blood 
physiognomy,physiognomy
frenemy,frenemy
battle of wits,battle of wits
female rivalry ,female rivalry 
former prosecutor,former prosecutor
landlord male lead,landlord male lead
writer male lead ,writer male lead 
forced break-up ,forced break-up 
sexual innuendo,sexual innuendo
chef,chef
insider trading,insider trading
manipulative male lead,manipulative male lead
sly male lead,sly male lead
noble sacrifice,noble sacrifice
musician female lead,musician female lead
supernatural ,supernatural 
performing arts ,performing arts 
cynical male lead,cynical male lead
tour guide,tour guide
vacation,vacation
tourism ,tourism 
school rivalry,school rivalry
high society ,high society 
producer male lead,producer male lead
food industry,food industry
contract worker,contract worker
child male lead,child male lead
cold-hearted female lead,cold-hearted female lead
underdog ,underdog 
master-servant relationship,master-servant relationship
king male lead ,king male lead 
chauffeur supporting character,chauffeur supporting character
"""neighbors' relationship ""","""neighbors' relationship """
news anchor ,news anchor 
righteous female lead,righteous female lead
scholar male lead,scholar male lead
vampire fiction,vampire fiction
vampire male lead ,vampire male lead 
monsters ,monsters 
cheating ,cheating 
raised by uncle,raised by uncle
missing mother,missing mother
evil female lead,evil female lead
disability ,disability 
genius female lead,genius female lead
environmental issues,environmental issues
space mission,space mission
water shortage,water shortage
space travel,space travel
outer space,outer space
deadly mission,deadly mission
growing up,growing up
musical,musical
debt ,debt 
slow romance ,slow romance 
ex-husband returns,ex-husband returns
talented female lead,talented female lead
talented male lead,talented male lead
aquaphobia,aquaphobia
mutant,mutant
agent male lead ,agent male lead 
middle school,middle school
disaster ,disaster 
ex relationship,ex relationship
embezzlement,embezzlement
warm male lead,warm male lead
timid female lead,timid female lead
fast paced romance ,fast paced romance 
grim reaper female lead,grim reaper female lead
magical ring,magical ring
arrogant male lead ,arrogant male lead 
side effect,side effect
high intelligence,high intelligence
drugs,drugs
lesbian guest character,lesbian guest character
widow,widow
2000s,2000s
time skip ,time skip 
time warp,time warp
sci-fi,sci-fi
determined female lead,determined female lead
high jump,high jump
gender bender ,gender bender 
webtoon artist supporting character,webtoon artist supporting character
manhwa artist supporting character,manhwa artist supporting character
editor female lead,editor female lead
adapted from a manga ,adapted from a manga 
grim reaper male lead,grim reaper male lead
suicide prevention,suicide prevention
team leader female lead ,team leader female lead 
talent manager female lead,talent manager female lead
beauty and makeup,beauty and makeup
idol trainee,idol trainee
confident male lead,confident male lead
brave male lead,brave male lead
public officer ,public officer 
crossworlds traveler,crossworlds traveler
action,action
speech disorder,speech disorder
political power,political power
casino setting,casino setting
passive female lead,passive female lead
photographer female lead,photographer female lead
ballet dancer male lead,ballet dancer male lead
ghost male lead ,ghost male lead 
leukemia,leukemia
gang ,gang 
hotelier female lead,hotelier female lead
ex-convict male lead ,ex-convict male lead 
optimistic male lead,optimistic male lead
death of a husband ,death of a husband 
raised by sister,raised by sister
snowy setting ,snowy setting 
loving husband,loving husband
announcer female lead,announcer female lead
kendo,kendo
slush funds,slush funds
law,law
apparent death,apparent death
congressman,congressman
vampire male lead,vampire male lead
restaurateur female lead,restaurateur female lead
loveless marriage,loveless marriage
idol actor,idol actor
martial arts school,martial arts school
nerdy female lead,nerdy female lead
short length series ,short length series 
government,government
sweet male lead,sweet male lead
weightlifting,weightlifting
bantering relationship,bantering relationship
swimming,swimming
rude female lead,rude female lead
part-time worker ,part-time worker 
wedding,wedding
lovers separated ,lovers separated 
seaside setting ,seaside setting 
devil,devil
security guard,security guard
reserved male lead ,reserved male lead 
serious male lead ,serious male lead 
bad tempered male lead,bad tempered male lead
countryside female lead,countryside female lead
bad-tempered female lead,bad-tempered female lead
mean female lead,mean female lead
bodyguard female lead,bodyguard female lead
bipolar disorder,bipolar disorder
anti-fan,anti-fan
cyber bullying,cyber bullying
violence against women,violence against women
attempted sexual assault ,attempted sexual assault 
money laundering,money laundering
ex-detective,ex-detective
businessman ,businessman 
dark past,dark past
evil sister,evil sister
womanizer father,womanizer father
drinking,drinking
confident female lead,confident female lead
yoga instructor,yoga instructor
youtuber female lead ,youtuber female lead 
mockumentary,mockumentary
surgeon male lead ,surgeon male lead 
tutor,tutor
childhood acquaintance ,childhood acquaintance 
housekeeper male lead,housekeeper male lead
housekeeping,housekeeping
marital erectile dysfonction,marital erectile dysfonction
misogynist male lead,misogynist male lead
misogyny,misogyny
midlife marriage crisis,midlife marriage crisis
game developer male lead,game developer male lead
horror,horror
